,Date,DaySin,DayCos,Meal,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,MealNum,Item1Num,Item2Num,Item3Num,Item4Num,Item5Num,Item6Num,Item7Num,Item8Num
847,14/03/23,0.781831482,0.623489802,Dinner,"GREEN SALAD,AMERICAN CORN SALAD",BAIGAN BHARTA (V),SEV TAMATAR KI SABJI (V),DAL PANCHMEL(V),ONION RICE,TAWA ROTI,"ACHAR,JAGGERY",RICE KHEER (D),3,75,182,199,85,4,1,7,18
848,15/03/23,0.974927912,-0.222520934,Breakfast,CHOCOS,MASALA OMELLETE (E),VEG PEANUT POHA (N),MINT CHUTNEY (D),"BREAD, BUTTER (D), JAM","BANANA,PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,8,125,9,0,3,0,0
849,15/03/23,0.974927912,-0.222520934,Lunch,"GREEN SALAD,MINT LACCHA ONION",CHICKEN BIRYANI (NV/D),VEGTABLE PANEER BIRYANI (D),HYDERABADI DAL (V),BOONDI RAITA (D),TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,112,131,116,86,27,1,6,-1
850,15/03/23,0.974927912,-0.222520934,Snacks,MASALA CORN,TANG,-1,-1,-1,-1,-1,-1,2,19,10,-1,-1,-1,-1,-1,-1
851,15/03/23,0.974927912,-0.222520934,Dinner,"GREEN SALAD,ALOO PEANUT CHAT (N)",PENNE PASTA IN ARRABIATA SAUCE (D),KASHMIRI DUM ALOO (D),RED MALKA  DAL (V),JEERA RICE,TAWA ROTI,"ACHAR,JAGGERY",SEWAI PAYSAM (D),3,166,161,217,87,1,1,7,21
852,16/03/23,0.433883739,-0.900968868,Breakfast,MUESLI,EGG BHURJI (E),BANANA PANCAKE(D),"HONEY,CHOCOLATE SYRUP","BREAD, BUTTER (D), JAM","BANANA,SHARDA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,4,4,186,3,0,30,0,0
853,16/03/23,0.433883739,-0.900968868,Lunch,"GREEN SALAD, THREE BEAN SALAD",PENNE PASTA IN MIX SAUCE (D),PALAK CHANA (V),KADHI PAKODA (D),JEERA RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,71,183,170,69,1,1,6,-1
854,16/03/23,0.433883739,-0.900968868,Snacks,COLESLAW SANDWICH (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,99,25,-1,-1,-1,-1,-1,-1
855,16/03/23,0.433883739,-0.900968868,Dinner,"GREEN SALAD,HAWAIIN SALAD (D)",MAC & CHEESE (D),VEG JALFREZI (V),GREEN MOONG DAL,PLAIN RICE,TAWA ROTI,"ACHAR,JAGGERY",KESARI HALWA (D),3,218,3,32,48,2,1,7,42
856,17/03/23,-0.433883739,-0.900968868,Breakfast,CORNFLAKES,BOILED EGG (E),MIX  PARATHA (V),CURD (D),"BREAD, BUTTER (D), JAM","BANANA,MIX FRUITS","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,27,218,27,0,9,0,0
857,17/03/23,-0.433883739,-0.900968868,Lunch,"GREEN SALAD,NIMBU PANI",HOMESTYLE FUISSILI PASTA,DAL MAKHANI (D),MALAI KOFTA CURRY (D),JEERA RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",KALA JAMUN (D),1,219,184,47,44,1,1,6,5
858,17/03/23,-0.433883739,-0.900968868,Snacks,SWIZZ ROLL (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,104,25,-1,-1,-1,-1,-1,-1
859,17/03/23,-0.433883739,-0.900968868,Dinner,"GREEN SALAD, CHANA CHAT",VEGETABLE  LASAGNE (D),ALOO GOBHI MASALA (V),DAL BUKHARA,JEERA RICE,TAWA ROTI,"ACHAR,JAGGERY",-1,3,220,185,219,58,1,1,7,-1
860,18/03/23,-0.974927912,-0.222520934,Breakfast,CHOCOS,EGG BHURJI(E),HASHBROWN (D),BAKED BEANS,"BREAD, BUTTER (D), JAM","BANANA,PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,51,201,101,0,3,0,0
861,18/03/23,-0.974927912,-0.222520934,Lunch,"GREEN SALAD,  MEDITERRANEAN SALAD",VEGETABLE FLORENTINE (V),SOYA CHAAP MASALA (D),ARHAR DAL TADKA (V),RAMPUR KI TEHRI,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",FRUIT CUSTARD (D),1,79,165,220,54,24,1,6,20
862,18/03/23,-0.974927912,-0.222520934,Snacks,KOTHMIRI KEBAB,NIMBU PANI,-1,-1,-1,-1,-1,-1,2,199,2,-1,-1,-1,-1,-1,-1
863,18/03/23,-0.974927912,-0.222520934,Dinner,"GREEN SALAD, SIRKA ONION",CHICKEN CURRRY (NV/N/D),MATAR PANEER (D),DHABA DAL (V),PLAIN RICE,TAWA ROTI,"ACHAR,JAGGERY",-1,3,20,127,17,26,2,1,7,-1
864,19/03/23,-0.781831482,0.623489802,Breakfast,CORNFLAKES,BOILED EGG (E),BESAN CHILA (D),MINT SAUCE (D),"BREAD, BUTTER (D), JAM","BANANA,SHARDA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,27,104,103,0,30,0,0
865,19/03/23,-0.781831482,0.623489802,Lunch,"GREEN SALAD, LACCHA ONION SALAD",PINDI CHOLEY (V),MASALA AJWANI ALOO,CURD (D),ONION RICE,MASALA POORI,"ACHAR, PAPAD,JAGGERY",-1,1,15,36,221,27,4,16,6,-1
866,19/03/23,-0.781831482,0.623489802,Snacks,BANANA CAKE,"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,200,25,-1,-1,-1,-1,-1,-1
867,19/03/23,-0.781831482,0.623489802,Dinner,"THAI CUCUMBER AND CARROT SALAD,KOREAN KIMCHI SALAD",VEGETABLE MANCHURIAN,STIR FRIED VEGETABLES IN HOT GARLIC SAUCE,GARLIC CHILLI  NOODLES,VEG FRIED RICE,-1,-1,STRAWBERRY ICE CREAM (D),3,221,186,163,36,12,-1,-1,17
